Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,NEW_SMILES
CHEMBL1950709,COc1cc(NC(C)CCCN)c2nccc(C)c2c1Oc1ccc(Cl)cc1,IC50,'=',11300,nM,4.95,COc1cc(NC(C)CCCN)c2nccc(C)c2c1Oc1ccc(Cl)cc1
CHEMBL1927679,Cn1c(=O)c2c(nc(NCCCCc3ccccc3)n2C)n(C)c1=O,IC50,'=',30900,nM,4.51,Cn1c(=O)c2c([nH]c(=NCCCCc3ccccc3)n2C)n(C)c1=O
CHEMBL2417754,CN1N=C(c2ccc(O)cc2O)CC1c1cccc(Cl)c1,IC50,'=',420,nM,6.38,CN1N=C(c2ccc(O)cc2O)CC1c1cccc(Cl)c1
CHEMBL2417758,CN1N=C(c2ccccc2)CC1c1cccc(F)c1,IC50,'=',1820,nM,5.74,CN1N=C(c2ccccc2)CC1c1cccc(F)c1
CHEMBL2417756,CN1N=C(c2ccccc2)CC1c1ccccc1,IC50,'=',1680,nM,5.78,CN1N=C(c2ccccc2)CC1c1ccccc1
CHEMBL1938475,Fc1ccc(CCN2CC=CCC2)cc1,IC50,'=',27300,nM,4.56,Fc1ccc(CCN2CC=CCC2)cc1
CHEMBL2417760,Cc1ccccc1C1CC(c2ccccc2)=NN1C,IC50,'=',3260,nM,5.49,Cc1ccccc1C1CC(c2ccccc2)=NN1C
CHEMBL1927669,Cn1c(=O)c2c(nc(SCc3ccc(Cl)cc3)n2C)n(C)c1=O,IC50,'=',2770,nM,5.56,Cn1c(=O)c2c(nc(SCc3ccc(Cl)cc3)n2C)n(C)c1=O
CHEMBL3652416,Cc1cn(-c2ccc3nc(-c4ccc5c(c4)OCO5)ncc3c2)cn1,IC50,'=',10000,nM,5,Cc1cn(-c2ccc3nc(-c4ccc5c(c4)OCO5)ncc3c2)cn1
CHEMBL3651120,Nc1ncccc1CN[C@H]1CC1c1ccccc1,IC50,'=',8100,nM,5.09,N=c1[nH]cccc1CNC1CC1c1ccccc1
CHEMBL4634215,Cn1cc(/C=C/C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cn1,IC50,'=',51500,nM,4.29,Cn1cc(C=CC(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cn1
CHEMBL1945154,O=c1ccoc2ccc(OCc3cccc(Br)c3)cc12,IC50,'=',386,nM,6.41,O=c1ccoc2ccc(OCc3cccc(Br)c3)cc12
CHEMBL484410,COc1ccc(NC(=O)c2cc3ccc(OCc4ccc(F)cc4)cc3oc2=O)cc1OC,IC50,'=',49200,nM,4.31,COc1ccc(NC(=O)c2cc3ccc(OCc4ccc(F)cc4)cc3oc2=O)cc1OC
CHEMBL31184,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,IC50,'=',5972,nM,5.22,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34
